"(PDH-CSV 4.0) (Hora de verano romance)(-120)","\\AUGUSTO-DESKTOP\Procesador(_Total)\% de tiempo de procesador","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium2)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium3)\Presión media","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchHeavy)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchLight)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium1)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium2)\Memoria física","\\AUGUSTO-DESKTOP\Máquina virtual de memoria dinámica de Hyper-V(RetorchMedium3)\Memoria física","\\AUGUSTO-DESKTOP\Memoria\Bytes disponibles","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de lectura de disco/s","\\AUGUSTO-DESKTOP\Disco físico(_Total)\Bytes de escritura en disco/s"
"10/22/2019 00:01:57.998"," ","83","83","83","81"," ","4866","4872","4722","4086"," ","10755006464"," "," "
"10/22/2019 00:02:01.999","7.2265717773428272963","83","83","83","81"," ","4866","4872","4722","4086"," ","10228076544","54271.853465995642182","63743.82789166468865"
"10/22/2019 00:02:06.000","10.34711345651107095","83","83","83","81"," ","4866","4872","4722","4086"," ","10230423552","38903.315807328908704","248136.60970529852784"
"10/22/2019 00:02:10.000","23.734416150603799167","83","83","83","81"," ","4866","4872","4722","4086"," ","10308485120","47100.951390921218263","80250.805766596749891"
"10/22/2019 00:02:14.000","21.681118777554342358","87","83","83","81"," ","5324","4872","4722","4086"," ","10261483520","66559.539075191903976","808058.40419555082917"
"10/22/2019 00:02:18.001","18.83414916120645799","87","83","83","81"," ","7368","4872","4722","4086"," ","8130437120","9695960.1374262925237","1279569.8185584486928"
"10/22/2019 00:02:22.001","66.873741512678506638","84","89","83","81"," ","7368","5650","4722","4086"," ","7313932288","2337505.1296829595231","269150.9684473972884"
"10/22/2019 00:02:25.985","84.828416589297702899","82","91","83","81"," ","7368","5650","4932","4086"," ","6575636480","2405568.479017497506","157287.16978191328235"
"10/22/2019 00:02:29.986","38.556788021041413117","81","95","84","82"," ","7368","6500","4932","4204"," ","5576081408","41463311.93820284307","759851.84640801034402"
"10/22/2019 00:02:33.987","57.285514400949111291","81","92","86","83"," ","7368","8522","4932","4204"," ","3474083840","676690.80098948685918","3111523.6055331639946"
"10/22/2019 00:02:37.988","75.22552225034564799","80","105","89","88"," ","7368","9898","5972","4248"," ","1596907520","1042183.8820722757373","48570452.589499756694"
"10/22/2019 00:02:41.988","56.324140038922202223","85","114","90","90"," ","6348","10000","5972","5434"," ","1319673856","55294.190497615963977","1666633.4594200404827"
"10/22/2019 00:02:45.990","73.621063346434212349","87","118","90","89"," ","6348","10000","5972","5434"," ","1314967552","147388.41135926093557","5745077.4511078586802"
"10/22/2019 00:02:49.990","60.062400054834775176","89","117","90","89"," ","6348","6452","6330","5434"," ","4064702464","30717.253877503349941","3474121.4135456290096"
"10/22/2019 00:02:53.991","58.135586526335792712","90","112","89","87"," ","6348","8896","6330","5434"," ","1516765184","39801.679493296469445","3215873.3193168928847"
"10/22/2019 00:02:57.992","67.951585152648846133","90","107","89","87"," ","6348","8896","6330","5434"," ","1347444736","141283.09701042910456","1256191.0147231630981"
"10/22/2019 00:03:01.992","54.68922860592868318","82","95","85","88"," ","6348","8896","7146","5434"," ","1107169280","14335.285386023508181","25483017.671569075435"
"10/22/2019 00:03:05.992","17.515836396926488305","76","82","82","83"," ","6348","8896","7146","5434"," ","1106812928","27644.915518551017158","530372.82365220098291"
"10/22/2019 00:03:09.993","17.914112266454807809","72","70","81","76"," ","6348","8896","7146","5434"," ","1204899840","5118.8747433595408438","371374.36263073468581"
"10/22/2019 00:03:13.993","18.4369403421618685","69","62","80","71"," ","6348","8896","7146","5434"," ","633774080","624732.09352292481344","1096640.9705602170434"
"10/22/2019 00:03:17.994","19.524252451769442018","73","56","79","68"," ","5204","8896","7146","5434"," ","2051719168","251846.35866466065636","4011113.9562932536937"
"10/22/2019 00:03:21.994","19.606107927077964348","74","53","79","66"," ","5204","8896","7146","5434"," ","2050523136","344443.54806714120787","1303535.1518081629183"
"10/22/2019 00:03:25.994","10.449466263967776669","75","51","71","64"," ","5204","8896","7146","5434"," ","2640896000","34815.858125378137629","22052390.136510189623"
"10/22/2019 00:03:29.995","3.6615002432898835494","76","49","66","63"," ","5204","8896","7146","5434"," ","2638299136","40949.838297626447456","141021.00563745107502"
"10/22/2019 00:03:33.996","3.0271513932607518882","77","48","62","63"," ","5204","8896","7146","5434"," ","2637348864","341934.46572664752603","113636.90328041279281"
